GWAS	gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status	bonferroni
AJHG2018-TBBMD	ENSG00000091831.22	ESR1	7.17305693782504e-18	20	6	1.83200055849737e-12	Artery_Coronary	0.137999985513015	Testis	12.6796309739615	1.41173277138101e-17	0.555920588173553	-7.04670810699463	5.86423778533936	0.112289589643479	2.71943488607305	6	0	2.802e-13
AJHG2018-TBBMD	ENSG00000166949.15	SMAD3	6.59149114814184e-15	47	9	3.77199841739403e-13	Heart_Left_Ventricle	0.905211349556963	Brain_Spinal_cord_cervical_c-1	21.2789875527002	1.80741649081343e-15	0.79951813985271	-3.7694616317749	7.26350021362305	0.49095627913848	2.56298066681682	9	0	2.575e-10
AJHG2018-TBBMD	ENSG00000163064.6	EN1	1.44076017175562e-12	15	5	2.03852804929638e-10	Brain_Cerebellar_Hemisphere	0.446899990159657	Adipose_Subcutaneous	8.71715398894423	2.2774538940921e-18	0.627961435759864	-1.90983063178358	6.3584099699559	1.59616961790539	1.96155858049464	5	0	5.629e-08
AJHG2018-TBBMD	ENSG00000110693.17	SOX6	3.05103555781546e-11	44	6	1.24499910133034e-09	Brain_Cerebellum	0.689996591545914	Skin_Sun_Exposed_Lower_leg	22.7885618421763	7.14280901862093e-16	0.882974794788836	-6.07433843612671	1.10526434750901	-1.88472428108727	3.09039330416262	6	0	1.192e-06
AJHG2018-TBBMD	ENSG00000006377.10	DLX6	7.08321715462402e-10	26	5	6.74400741065554e-10	Breast_Mammary_Tissue	0.775400008440758	Artery_Aorta	17.3645127125544	1.5229296526809e-15	0.731022200584076	-4.87249088287353	6.17197990417481	0.423210596286458	2.88236598734908	5	0	2.767e-05
AJHG2018-TBBMD	ENSG00000124813.20	RUNX2	8.18040711295538e-10	21	6	3.75900124243541e-06	Pituitary	0.85998796144904	Brain_Spinal_cord_cervical_c-1	13.2567674196332	8.28914998255821e-18	0.508021051318126	-4.62428092956543	2.41419553756714	0.863399558305211	2.2552672016462	6	0	3.196e-05
AJHG2018-TBBMD	ENSG00000072310.16	SREBF1	1.18065749507561e-09	38	1	4.07388723034713e-10	Artery_Tibial	0.00481900152596551	Skin_Sun_Exposed_Lower_leg	36.1887062083361	7.68008473518475e-16	36.1887062083361	-6.08373520815748	6.25117015838623	5.27784686379785	2.75670565566495	1	0	4.613e-05
AJHG2018-TBBMD	ENSG00000105880.4	DLX5	1.86586398958283e-08	37	5	4.73280407890598e-09	Breast_Mammary_Tissue	0.933803668611921	Stomach	27.369824025367	2.53912944598197e-15	0.974738020530284	-4.12848325750232	5.85630439946438	-0.999214779671594	1.99490170384525	5	0	0.000729
AJHG2018-TBBMD	ENSG00000025434.18	NR1H3	2.23714651057675e-07	49	4	4.39439122456792e-06	Pancreas	0.829208522114684	Artery_Aorta	33.7145067665323	7.27661191750755e-16	2.00685007319902	-4.59180012608559	4.1372952117986	0.0561356658354027	1.88489521506238	4	0	0.00874
AJHG2018-TBBMD	ENSG00000120693.13	SMAD9	4.00315816606366e-07	49	4	5.4713432778116e-09	Heart_Left_Ventricle	0.848940076510157	Kidney_Cortex	37.8465162659277	3.67116979643559e-15	1.32377135174905	-5.83216299313212	2.09412132303644	-3.51987086913263	1.86293001847344	4	0	0.01564
